spp,individuals,phylum,nutrition,month
Asterionellopsis_glacialis,93,Heterokontophyta,Autotroph,February
Asteromphalus_sp,5,Heterokontophyta,Autotroph,February
Cerataulina_pelagica,56,Heterokontophyta,Autotroph,February
Chaetoceros_curvisetus,74,Heterokontophyta,Autotroph,February
Chaetoceros_debilis,167,Heterokontophyta,Autotroph,February
Dactyliosolen_fragilissimus,56,Heterokontophyta,Autotroph,February
Guinardia_delicatula,4529,Heterokontophyta,Autotroph,February
Guinardia_flaccida,93,Heterokontophyta,Autotroph,February
Leptocylindrus_danicus,2,Heterokontophyta,Autotroph,February
Pleurosigma_sp,1,Heterokontophyta,Autotroph,February
Pseudo-nitzschia_cf_delicatissima,761,Heterokontophyta,Autotroph,February
Pseudo-nitzschia_cf_seriata,7,Heterokontophyta,Autotroph,February
Rhizosolenia_imbricata,5,Heterokontophyta,Autotroph,February
Amphidinium_flagellans,19,Dinoflagellata,Autotroph,February
Ceratium_fusus,2,Dinoflagellata,Autotroph,February
Dinophysis_acuminata,55,Dinoflagellata,Autotroph,February
Gymnodinium_sp,260,Dinoflagellata,Autotroph,February
Gyrodinium_cf_spirale,2,Dinoflagellata,Heterotroph,February
Gyrodinium_sp_mediano,37,Dinoflagellata,Autotroph,February
Heterocapsa_niei,186,Dinoflagellata,Autotroph,February
Phalacroma_rotundatum,4,Dinoflagellata,Heterotroph,February
Prorocentrum_micans,1,Dinoflagellata,Autotroph,February
Prorocentrum_minimum,19,Dinoflagellata,Autotroph,February
Protoperidinium_cf_crassipes,11,Dinoflagellata,Heterotroph,February
Protoperidinium_cf_diabolus,1,Dinoflagellata,Heterotroph,February
Mesodinium_rubrum,1,Ciliophora,Autotroph,February
Strombidium_cornutum,1,Ciliophora,Heterotroph,February
Tiarina_fusus,1,Ciliophora,Heterotroph,February
Criptoficeas,111,Flagellate,Autotroph,February
Dictyocha_speculum,19,Flagellate,Autotroph,February
Haptoficeas,37,Flagellate,Autotroph,February
Asterionellopsis_glacialis,1,Heterokontophyta,Autotroph,July
Chaetoceros_cf_affinis,8541,Heterokontophyta,Autotroph,July
Chaetoceros_curvisetus,223,Heterokontophyta,Autotroph,July
Chaetoceros_cf_decipiens,8,Heterokontophyta,Autotroph,July
Chaetoceros_dydimus,56,Heterokontophyta,Autotroph,July
Cylindrotheca_closterium,2562,Heterokontophyta,Autotroph,July
Dactyliosolen_fragilissimus,37,Heterokontophyta,Autotroph,July
Diatomea_cf_Guinardia,520,Heterokontophyta,Autotroph,July
Eucampia_zodiacus,8,Heterokontophyta,Autotroph,July
Guinardia_striata,21,Heterokontophyta,Autotroph,July
Hemiaulus_hauckii,4,Heterokontophyta,Autotroph,July
Lauderia_sp,1,Heterokontophyta,Autotroph,July
Leptocylindrus_danicus,111,Heterokontophyta,Autotroph,July
Navicula_sp,19,Heterokontophyta,Autotroph,July
Pseudo_nitzschia_cf_delicatissima,817,Heterokontophyta,Autotroph,July
Pseudo_nitzschia_cf_seriata,668,Heterokontophyta,Autotroph,July
Rhizosolenia_setigera,8,Heterokontophyta,Autotroph,July
Stephanopyxis_turris,2,Heterokontophyta,Autotroph,July
Thalassionema_nitzschioides,2,Heterokontophyta,Autotroph,July
Amphidinium_flagellans,74,Dinoflagellata,Autotroph,July
Amphidinium_sphenoides,1,Dinoflagellata,Autotroph,July
Ceratium_fusus,5,Dinoflagellata,Autotroph,July
Cochlodinium_pulchelum,1,Dinoflagellata,Autotroph,July
Cochlodinium_cf_brandtii,3,Dinoflagellata,Autotroph,July
Gymnodinium_catenatum,1,Dinoflagellata,Autotroph,July
Gyrodinium_spirale,2,Dinoflagellata,Heterotroph,July
Heterocapsa_niei,149,Dinoflagellata,Autotroph,July
Oxytoxum_cf_adriaticum,1,Dinoflagellata,Autotroph,July
Pronoctiluca_spinifera,8,Dinoflagellata,Heterotroph,July
Prorocentrum_micans,5,Dinoflagellata,Autotroph,July
Prorocentrum_micans_cf_gracile,2,Dinoflagellata,Autotroph,July
Protoperidinium_cf_cerasus,1,Dinoflagellata,Heterotroph,July
Protoperidinium_diabolus,2,Dinoflagellata,Heterotroph,July
Protoperidinium_divergens,3,Dinoflagellata,Heterotroph,July
Protoperidinium_leonis,1,Dinoflagellata,Heterotroph,July
Protoperidinium_cf_steinii,19,Dinoflagellata,Heterotroph,July
Pyrocystis_lunula,1,Dinoflagellata,Autotroph,July
Scrippsiella_trochoidea,2,Dinoflagellata,Autotroph,July
Torodinium_teredo,1,Dinoflagellata,Autotroph,July
Torodinium_robustum,1,Dinoflagellata,Autotroph,July
Mesodinium_rubrum,3,Ciliophora,Autotroph,July
Strombidium_cornutum,2,Ciliophora,Heterotroph,July
Tiarina_fusus,4,Ciliophora,Heterotroph,July
Criptoficeas,74,Flagellata,Autotroph,July
Dictyocha_speculum,1,Flagellata,Autotroph,July
Haptoficeas,1,Flagellata,Autotroph,July
Phaeocystis_sp,192,Flagellata,Autotroph,July
