Station	Depth	Salinity	Temperature	pH	O2	Phosphate	Silicate	Nitrite	Nitrate	Ammonium
12	0	35.392	17.83	8.237	242	0	0.24	0.03	0	0.93
12	-10	35.459	16.89	8.222	241.9	0.01	0.45	0.04	0	0.21
12	-20	35.659	14.65	8.163	227.6	0.16	1.19	0.22	2.54	7.41
12	-30	35.705	13.91	8.143	225.5	0.3	1.58	0.26	3.8	2.9
12	-40	35.737	13.38	8.131	218.2	0.33	1.99	0.2	5.72	0.41
12	-50	35.727	12.99	8.109	212.3	0.42	2.89	0.13	7.46	0.15
12	-60	35.708	12.79	8.095	204.6	0.52	3.63	0.1	8.65	0.18
12	-81	35.692	12.59	8.08	199	0.55	4.09	0.1	9.45	0.63
12	-101	35.686	12.54	8.077	201.8	0.57	4.35	0.11	9.99	0.73
12	-121	35.685	12.53	8.073	206	0.57	4.4	0.12	9.8	2.54
15	0	35.66	19.13	8.253	232.1	0	0.01	0.01	0.01	0.02
15	-9	35.66	19.11	8.252	231.4	0	0	0.02	0	0.03
15	-18	35.676	18.48	8.251	238.3	0.01	0.07	0.03	0	0.85
15	-28	35.674	18.31	8.249	236.2	0.01	0.01	0.03	0	0.15
15	-37	35.687	17.9	8.245	235.9	0.01	0.1	0.03	0	0
15	-46	35.732	15.89	8.221	245.2	0.04	0.27	0.05	0	0.15
15	-55	35.734	14.96	8.198	247.3	0.1	0.49	0.11	0.31	0.14
15	-74	35.75	13.48	8.156	234.1	0.29	1.11	0.08	4.26	0.24
15	-92	35.741	13	8.144	230.3	0.37	1.56	0.08	5.79	0.34
15	-111	35.716	12.78	8.141	234.4	0.4	1.73	0.07	6.46	0.04
15	-139	35.688	12.57	8.129	230.3	0.44	2	0.07	7.24	0.19
15	-185	35.647	12.24	8.118	232.7	0.49	2.29	0.07	8.05	0.23
15	-231	35.606	11.9	8.108	236.2	0.55	2.65	0.07	8.86	0.27
15	-286	35.572	11.65	8.104	234.1	0.56	2.94	0.07	9.08	0.15
15	-335	35.557	11.45	8.092	236.2	0.61	3.25	0.08	10.07	0.12
15	-383	35.549	11.33	8.057	219.2	0.76	4.43	0.08	13	0.13
15	-481	35.552	11.01	8.039	208	0.85	5.34	0.09	14.05	0.71
15	-579	35.678	11.07	8.031	192.7	0.93	6.64	0.09	15.23	0.42
15	-775	35.968	11.34	8.038	185	0.9	7.54	0.1	15.02	0.86
15	-970	36.069	10.92	8.037	181.1	0.94	8.34	0.1	15.38	0.71
15	-1068	36.048	10.48	8.033	183.9	0.96	9.04	0.11	15.71	0.63
15	-1166	36.124	10.47	8.034	183.9	0.94	9.06	0.1	15.68	0.56
15	-1362	35.726	8.31	8.011	202.1	1.05	10.72	0.1	16.8	0.23
15	-1557	35.431	4.09	7.988	225.2	1.12	11.95	0.09	17.21	0.44
15	-1753	35.135	4.76	7.98	243.3	1.17	13.37	0.1	17.66	0.38
15	-1948	35.09	4.18	7.971	244	1.2	15.81	0.09	17.99	0.19
